document,labels
둘쨋날은 미친듯이 밟아봤더니 기어가 헛돌면서 틱틱 소리가 나서 경악.,2
"이거 뭐 삐꾸를 준 거 아냐 불안하고, 거금 투자한 게 왜 이래.. 싶어서 정이 확 떨어졌는데 산 곳 가져가서 확인하니 기어 텐션 문제라고 고장 아니래.",2
간사하게도 그 이후에는 라이딩이 아주 즐거워져서 만족스럽게 탔다.,1
벌써 꽃가루 날리고 날벌레 날아다녀서 좀 방해되는 구간이 있긴 했지만 전반적으로 도로 요철도 전혀 없고 사람도 거의 없어서 기분이 상쾌해진다.,1
샥이 없는 모델이라 일반 도로에서 타면 노면의 진동 때문에 손목이 덜덜덜 떨리고 이가 부딪칠 지경인데 이마저도 며칠 타면서 익숙해지니 신경쓰이지 않게 됐다.,0
안장도 딱딱해서 엉덩이가 아팠는데 무시하고 타고 있다.,0
지금 내 실력과 저질 체력으로는 이 정도 자전거도 되게 훌륭한 거라는..,1
내장 기어 3단은 썩 좋은 물건이라 기어 변환도 부드럽고 겉에서는 기어가 보이지 않기 때문에 깔끔하다.,1
겁나 비싸지만 이런 거 사서 여행 다니고 싶다.,1
나중에 연락주세요,2
3초 폴딩이라는 기적같은 간편함.,1
네,1
아니오, 2
아니요, 2
아무리 폴딩 자전거 많아도 다 접고 펴려면 엄청 귀찮다.,2
다들 10초 어쩌구 하지만 실제로는 1분 이상 걸리고 스트라이다는 실물을 보니 키 170이상은 되야 편안히 탈 수 있을 거 같다.,2
너무 커.,2
게다가 일반 자전거랑 모양이 달라서 보다 보니 전혀 땡기지 않는다.,2
엄청 불편하고 불안정해보인다.,2
티킷.. 사고 싶다.,1
손으로 틱 치면 착착 접히고 탁 펴서 올라타면 되고 접은 상태에서도 끌 수 있어서 이동도 용이하다.,1
아.. 나 같이 게으르면서 간지 따지는 인간한테는 딱인데.,1
성장 영화인데 썩 잘 만들었다.,1
어째 예전 영화가 요즘 나오는 것보다 몇 배나 나은지..,1
주인공 남자아이 잉마르와 보이시의 정석을 보여주는 사가.,1
주인공 남자아이 잉마르와 보이시의 정석을 보여주는 사가.,1
이 자식.. 너무 멋지잖아.,1
